BC,feat,trn_u,trn_s,val_u,val_s,PLD_u,PLD_s,LD1_u,LD1_s,IL1_u,IL1_s,LD2_u,LD2_s,IL2_u,IL2_s,method
5,E+M,2.947166,0.012054,2.666041,0.014084,2.996674,0.007838,2.881457,0.008286,3.779336,0.017059,2.518189,0.006254,2.376066,0.007967,NBEATS+OL
5,E+T+M,3.880333,0.02843,3.511419,0.04024,3.414186,0.012059,4.38188,0.045545,5.072837,0.016807,3.396974,0.01208,2.795586,0.024841,NBEATS+OL
5,E,3.009012,0.008124,2.874735,0.008812,3.733363,0.009199,3.673318,0.005049,5.956569,0.037548,3.082298,0.012633,2.772566,0.006865,NBEATS
5,E+T,1.157304,0.021958,2.918251,0.060641,3.269677,0.031153,11.62894,1.044947,9.822954,0.485139,12.507141,1.322008,7.173216,0.563,NBEATS
5,E+M,2.074546,0.009243,2.236211,0.009893,3.152214,0.023111,3.197118,0.011132,5.835043,0.066409,2.754323,0.012822,2.379479,0.010833,NBEATS
5,E+T+M,1.342775,0.028961,2.790813,0.065499,3.805595,0.049385,12.23735,0.826731,10.894205,0.51545,13.040764,0.980689,7.486139,0.552244,NBEATS
5,E,6.865596,0.877745,5.441139,0.808493,9.243107,2.783178,12.097669,10.967226,14.490324,10.513985,14.75991,21.884483,23.177528,34.280462,LSTM+OL
5,E+T,3.959017,0.12052,2.894817,0.144168,3.460074,0.061567,3.660089,0.075894,5.148347,0.12701,2.815439,0.027678,2.572865,0.069836,LSTM+OL
5,E+M,5.968843,0.240538,4.798148,0.153664,6.947946,0.400553,7.501162,2.664605,13.409549,6.771347,8.740776,6.613869,12.796513,12.405563,LSTM+OL
5,E+T+M,5.450609,0.210553,4.188783,0.245862,5.235675,0.16339,5.309771,0.517488,7.593869,1.004299,4.038761,0.549169,3.672722,0.487171,LSTM+OL
5,E,2.565888,0.165976,2.448857,0.203195,3.097805,0.140099,3.11701,0.18143,4.95586,0.220516,2.678889,0.153776,2.492949,0.142327,LSTM
5,E+M,1.995006,0.264881,2.594016,0.372407,3.257269,0.237283,5.535586,0.517211,8.91007,0.563096,4.612106,0.475669,3.860755,0.349577,LSTM
5,E+T,2.542941,0.191469,2.382887,0.135757,3.444968,0.142896,3.311025,0.109485,6.368402,0.381885,2.779756,0.161336,2.444222,0.169095,LSTM
5,E+T+M,1.967706,0.062059,2.417839,0.08191,3.643681,0.131427,5.259077,0.282607,9.313229,0.491646,4.309009,0.26252,3.403393,0.177493,LSTM
5,E+T,3.116458,0.02279722,3.080164,0.01744636,4.320963,0.02732185,4.140458,0.02247474,7.584502,0.09719495,3.244016,0.01954398,3.198376,0.01809911,XGBoost
5,E,3.640385,0.01686126,3.23194,0.0136874,4.240595,0.01624563,4.135674,0.01827738,6.374063,0.0373661,3.587045,0.01906151,3.323798,0.01479,XGBoost
5,E+M,3.904689,0.01450269,3.3788,0.04077302,4.604122,0.01886004,6.899039,0.08238914,7.986616,0.04170853,7.157487,0.1565996,4.404563,0.08065269,XGBoost
5,E+T+M,4.207851,0.05973959,3.956125,0.0608289,5.098514,0.05073219,7.391557,0.2465533,8.339152,0.2312074,7.731785,0.298206,5.041744,0.1892917,XGBoost
5,E+T+M,4.09736,0.006301,3.28188,0.006795,4.828108,0.006259,4.622983,0.024918,8.202015,0.017145,3.781498,0.026427,3.42298,0.008925,RF
5,E,4.193874,0.008936,3.326101,0.006769,4.901661,0.006724,4.48258,0.006362,8.253567,0.012756,3.564819,0.009599,3.374046,0.007565,RF
5,E+T,5.138457,0.005601,3.882559,0.00698,5.653743,0.005739,5.140611,0.0056,9.076579,0.005748,3.925773,0.007024,3.878531,0.00718,RF
5,E+M,6.795412,0.000355,5.181488,0.007859,7.130917,0.001252,6.481376,0.000687,10.849519,0.024333,5.205185,0.002443,5.251401,0.000888,RF
5,E,3.211435742,,,,3.660550944,,3.657722811,,5.424053771,,3.138095522,,2.874713124,,VAR
5,E+M,1.696435471,,,,5.411345114,,18.20969095,,14.08419,,17.38102534,,9.03404287,,VAR
